email,name,user_id,id,signed_up_at,last_seen_ip,custom_attributes,last_seen_user_agent,companies,last_request_at,events,tags
kierkegaard@existentialist.com,Soren,1,,,,school:existentialism;books:4,,,,gave-lecture::thought-deeply::reviewed-book::published-book::published-paper::questioned-reality::contemplated-meaning::tutored-students::graded-essays,existentialist
nietzche@existentialist.com,Fred,2,,,,school:existentialism;books:10;character:zarathustra,,,,gave-lecture::thought-deeply::reviewed-book::published-book::published-paper::questioned-reality::contemplated-meaning::tutored-students::graded-essays,existentialist
heidegger@existentialist.com,Martin,3,,,,occupation:philosopher;book:beingandtime,,,,gave-lecture::thought-deeply::reviewed-book::published-book::published-paper::questioned-reality::contemplated-meaning::tutored-students::graded-essays,existentialist
sartre@existentialist.com,Jean,4,,,,meetup:cafedeflore;partner:SimonedeBeauvoir,,,,gave-lecture::thought-deeply::reviewed-book::published-book::published-paper::questioned-reality::contemplated-meaning::tutored-students::graded-essays,existentialist
beauvoir@existentialist.com,Simone,5,,,,born:1908;died:1986,,,,gave-lecture::thought-deeply::reviewed-book::published-book::published-paper::questioned-reality::contemplated-meaning::tutored-students::graded-essays,existentialist
camus@existentialist.com,Al,6,,,,sport:football;awards:nobel,,,,gave-lecture::thought-deeply::reviewed-book::published-book::published-paper::questioned-reality::contemplated-meaning::tutored-students::graded-essays,existentialist
locke@empiricist.com,John,7,,,,born:1632;title:fatherofliberalism,,,,gave-lecture::thought-deeply::reviewed-book::published-book::published-paper::questioned-reality::contemplated-meaning::tutored-students::graded-essays,empiricist
berkeley@empiricist.com,George,8,,,,born:kilkenny;knownfor:immaterialism,,,,gave-lecture::thought-deeply::reviewed-book::published-book::published-paper::questioned-reality::contemplated-meaning::tutored-students::graded-essays,empiricist
hume@empiricist.com,Dave,9,,,,,,,,gave-lecture::thought-deeply::reviewed-book::published-book::published-paper::questioned-reality::contemplated-meaning::tutored-students::graded-essays,empiricist
bacon@empiricist.com,Frank,10,,,,,,,,gave-lecture::thought-deeply::reviewed-book::published-book::published-paper::questioned-reality::contemplated-meaning::tutored-students::graded-essays,empiricist
descartes@rationalist.com,Rene,11,,,,,,,,gave-lecture::thought-deeply::reviewed-book::published-book::published-paper::questioned-reality::contemplated-meaning::tutored-students::graded-essays,rationalist
spinoza@rationalist.com,Baruch,12,,,,,,,,gave-lecture::thought-deeply::reviewed-book::published-book::published-paper::questioned-reality::contemplated-meaning::tutored-students::graded-essays,rationalist
leibniz@rationalist.com,Gottfried,13,,,,,,,,gave-lecture::thought-deeply::reviewed-book::published-book::published-paper::questioned-reality::contemplated-meaning::tutored-students::graded-essays,rationalist
kant@rationalist.com,Immanuel,14,,,,,,,,gave-lecture::thought-deeply::reviewed-book::published-book::published-paper::questioned-reality::contemplated-meaning::tutored-students::graded-essays,rationalist
hagel@phenomenology.com,Georg,15,,,,,,,,gave-lecture::thought-deeply::reviewed-book::published-book::published-paper::questioned-reality::contemplated-meaning::tutored-students::graded-essays,phenomenologist
husserl@phenomenology.com,Ed,16,,,,,,,,gave-lecture::thought-deeply::reviewed-book::published-book::published-paper::questioned-reality::contemplated-meaning::tutored-students::graded-essays,phenomenologist
